Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
  2,  1,         250.00,   843969.13504,  1743594.36442, 38,  1025.000
  3,  1,         750.00,   844334.62120,  1743259.46060, 38,  1023.000
  4,  1,        1250.00,   844649.00248,  1742891.36879, 38,  1022.000
  5,  1,        1750.00,   844819.07543,  1742424.09624, 38,  1021.000
  6,  1,        2250.00,   844896.99536,  1741932.13129, 38,  1020.000
  7,  1,        2775.00,   844890.46621,  1741408.78685, 38,  1018.000
  8,  1,        3325.00,   844832.98417,  1740861.88310, 38,  1017.000
  9,  1,        3875.00,   844789.87263,  1740314.10036, 38,  1017.000
 10,  1,        4425.00,   844761.09217,  1739764.93774, 38,  1015.000
 11,  1,        4975.00,   844684.73417,  1739221.61701, 38,  1014.000
 12,  1,        5525.00,   844529.00692,  1738695.89191, 38,  1013.000
 13,  1,        6050.00,   844328.77113,  1738210.77111, 38,  1012.000
 14,  1,        6550.00,   844105.88336,  1737763.73047, 38,  1011.000
 15,  1,        7050.00,   843820.66615,  1737356.39787, 38,  1010.000
 16,  1,        7550.00,   843476.81764,  1736994.05480, 38,  1009.000
 17,  1,        8050.00,   843102.69612,  1736663.06026, 38,  1009.000
 18,  1,        8550.00,   842714.12247,  1736348.40089, 38,  1009.000
 19,  1,        9021.00,   842336.61889,  1736067.48876, 38,  1008.000
 22,  2,        9517.00,   842050.38594,  1735688.93051, 38,  1024.000
 23,  2,       10067.00,   841766.95456,  1735226.40866, 38,  1022.000
 24,  2,       10617.00,   841375.87796,  1734842.09505, 38,  1019.000
 25,  2,       11167.00,   840939.94992,  1734507.59372, 38,  1018.000
 26,  2,       11717.00,   840444.73581,  1734297.38746, 38,  1016.000
 27,  2,       12267.00,   839907.95703,  1734178.38639, 38,  1015.000
 28,  2,       12817.00,   839378.14194,  1734031.45550, 38,  1014.000
 31,  3,       13217.00,   839019.40275,  1734031.40183, 38,  1024.000
 32,  3,       13467.00,   838816.50153,  1734176.13038, 38,  1022.000
 33,  3,       13717.00,   838605.72614,  1734310.40960, 38,  1022.000
 34,  3,       13960.00,   838410.39298,  1734454.56826, 38,  1021.000
 37,  4,       14203.00,   838228.77183,  1734615.65982, 38,  1024.000
 38,  4,       14453.00,   838063.62729,  1734802.32139, 38,  1022.000
 39,  4,       14703.00,   837914.92673,  1735003.27757, 38,  1019.000
 40,  4,       14944.50,   837750.91529,  1735177.71977, 38,  1015.000
